,gem,comune,degurba,GEMI,GEMD,mean_fam_r_disp,median_fam_r_disp,count_fam_r_disp,year
135,019,Castelrotto/Kastelruth,3,Castelrotto,Kastelruth,41729.86324624195,29616.765,2794,2020
136,020,Cermes/Tscherms,2,Cermes,Tscherms,40489.048728139904,32643.0,629,2020
137,021,Chienes/Kiens,3,Chienes,Kiens,46085.39869492935,34804.0,1203,2020
138,022,Chiusa/Klausen,3,Chiusa,Klausen,41962.20248908297,32244.14,2061,2020
139,023,Cornedo all'Isarco/Karneid,3,Cornedo all'Isarco,Karneid,40130.27241635688,31322.0,1345,2020
140,024,Cortaccia sulla strada del vino/Kurtatsch an der Weinstraße,3,Cortaccia sulla strada del vino,Kurtatsch an der Weinstraße,38056.24580396475,28035.5,908,2020
141,025,Cortina sulla strada del vino/Kurtinig an der Weinstraße,3,Cortina sulla strada del vino,Kurtinig an der Weinstraße,36202.94160839161,27305.0,286,2020
142,026,Corvara in Badia/Corvara,3,Corvara in Badia,Corvara,50510.06319419238,33957.0,551,2020
143,027,Curon Venosta/Graun im Vinschgau,3,Curon Venosta,Graun im Vinschgau,33948.65741418764,26195.5,874,2020
144,028,Dobbiaco/Toblach,3,Dobbiaco,Toblach,42233.88874807987,32931.325,1302,2020
145,029,Egna/Neumarkt,3,Egna,Neumarkt,40624.402552631575,29878.5,2280,2020
146,030,Falzes/Pfalzen,3,Falzes,Pfalzen,48554.54119108826,35317.0,1167,2020
147,031,Fiè allo Sciliar/Völs am Schlern,3,Fiè allo Sciliar,Völs am Schlern,42713.2722366621,29893.0,1462,2020
148,032,Fortezza/Franzensfeste,3,Fortezza,Franzensfeste,32622.41359413203,25671.0,409,2020
149,033,Funes/Villnöß,3,Funes,Villnöß,40590.512242105266,33119.06,950,2020
150,034,Gais/Gais,3,Gais,Gais,43395.69006976744,33524.19,1290,2020
151,035,Gargazzone/Gargazon,3,Gargazzone,Gargazon,45396.267750000006,32765.0,760,2020
152,036,Glorenza/Glurns,3,Glorenza,Glurns,35368.43278688525,29146.5,366,2020
153,037,Laces/Latsch,3,Laces,Latsch,36726.481417875526,28112.56,2137,2020
154,038,Lagundo/Algund,2,Lagundo,Algund,41413.598713826366,29397.0,2177,2020
155,039,Laion/Lajen,3,Laion,Lajen,38315.37037428023,31012.0,1042,2020
156,040,Laives/Leifers,2,Laives,Leifers,37401.74365298013,31072.68,7550,2020
157,041,Lana/Lana,2,Lana,Lana,40822.544180867546,29601.5,5164,2020
158,042,Lasa/Laas,3,Lasa,Laas,35157.52708173691,27805.0,1566,2020
159,043,Lauregno/Laurein,3,Lauregno,Laurein,41162.89234234234,37388.0,111,2020
160,044,Luson/Lüsen,3,Luson,Lüsen,40875.04660869565,33920.56,575,2020
161,045,Magrè sulla strada del vino/Margreid an der Weinstraße,3,Magrè sulla strada del vino,Margreid an der Weinstraße,35082.02438563327,28159.0,529,2020
162,046,Malles Venosta/Mals,3,Malles Venosta,Mals,34073.68683838384,26646.0,1980,2020
163,047,Marebbe/Enneberg,3,Marebbe,Enneberg,43031.610499561786,32422.0,1141,2020
164,048,Marlengo/Marling,2,Marlengo,Marling,38757.99547385621,29180.5,1224,2020
165,049,Martello/Martell,3,Martello,Martell,33175.5893081761,29492.5,318,2020
166,050,Meltina/Mölten,3,Meltina,Mölten,41164.854782608694,33079.0,621,2020
167,051,Merano/Meran,2,Merano,Meran,38234.28283028314,27861.85,17977,2020
168,052,Monguelfo-Tesido/Welsberg-Taisten,3,Monguelfo-Tesido,Welsberg-Taisten,41559.77535335689,33562.5,1132,2020
169,053,Montagna/Montan,3,Montagna sulla strada del vino,Montan an der Weinstraße,41396.96243867244,30224.0,693,2020
170,054,Moso in Passiria/Moos in Passeier,3,Moso in Passiria,Moos in Passeier,33155.755894590846,25820.0,721,2020
171,055,Nalles/Nals,3,Nalles,Nals,42026.825337278104,31146.0,845,2020
172,056,Naturno/Naturns,3,Naturno,Naturns,38433.01692686935,30076.614999999998,2434,2020
173,057,Naz-Sciaves/Natz-Schabs,3,Naz-Sciaves,Natz-Schabs,44346.04569749216,35079.445,1276,2020
174,058,Nova Levante/Welschnofen,3,Nova Levante,Welschnofen,43512.46622322435,31148.0,887,2020
175,059,Nova Ponente/Deutschnofen,3,Nova Ponente,Deutschnofen,43416.68963855422,33004.0,1577,2020
176,060,Ora/Auer,3,Ora,Auer,39920.74769466585,30008.0,1631,2020
177,061,Ortisei/St. Ulrich,2,Ortisei,St. Ulrich,44790.14490984029,31211.18,1941,2020
178,062,Parcines/Partschins,3,Parcines,Partschins,38494.63657234726,30064.0,1555,2020
179,063,Perca/Percha,3,Perca,Percha,44741.048467614535,35073.0,633,2020
180,064,Plaus/Plaus,3,Plaus,Plaus,36288.37513986014,29066.5,286,2020
181,065,Ponte Gardena/Waidbruck,3,Ponte Gardena,Waidbruck,35189.524333333335,22303.5,90,2020
182,066,Postal/Burgstall,3,Postal,Burgstall,42444.22945745993,33292.0,811,2020
183,067,Prato allo Stelvio/Prad am Stilfserjoch,3,Prato allo Stelvio,Prad am Stilfserjoch,35794.3434659474,28575.0,1483,2020
184,068,Predoi/Prettau,3,Predoi,Prettau,33174.58583690987,28108.0,233,2020
185,069,Proves/Proveis,3,Proves,Proveis,38858.04436170213,26956.0,94,2020
186,070,Racines/Ratschings,3,Racines,Ratschings,41446.85164705882,34143.0,1785,2020
